성별,생일,결혼유무,종교유무,직업코드,소득,지역코드,나이,직업,연령대
여성,1947,결혼,있음,951.0,215.0,서울,53,가사 및 육아 도우미,중년
남성,1973,무응답,있음,510.0,225.5,서울,27,영업 종사자,청년
남성,1964,결혼,없음,873.0,241.61901596892534,광주/전남/전북/제주도,36,자동차 운전원,중년
여성,1968,결혼,없음,247.0,159.1,광주/전남/전북/제주도,32,사회복지관련 종사자,중년
남성,1971,결혼,있음,120.0,450.0,서울,29,행정 및 경영지원 관리자,청년
여성,1975,결혼,있음,312.0,500.0,서울,25,경영관련 사무원,청년
남성,1959,결혼,있음,874.0,250.0,서울,41,물품이동 장비 조작원,중년
남성,1986,무응답,있음,753.0,180.0,서울,14,기계장비 설치 및 정비원,청년
여성,1989,무응답,있음,314.0,150.0,서울,11,비서 및 사무 보조원,청년
남성,1947,결혼,없음,992.0,90.0,서울,53,계기검침 수금 및 주차 관련 종사원,중년
여성,1983,무응답,없음,313.0,130.0,서울,17,회계 및 경리 사무원,청년
남성,1960,결혼,있음,862.0,190.0,서울,40,전기 및 전자 설비 조작원,중년
여성,1989,무응답,있음,247.0,110.0,서울,11,사회복지관련 종사자,청년
여성,1971,결혼,있음,254.0,95.0,서울,29,문리 기술 및 예능 강사,청년
남성,1972,결혼,있음,254.0,400.0,서울,28,문리 기술 및 예능 강사,청년
남성,1965,무응답,있음,854.0,241.61901596892534,서울,35,운송차량 및 기계 관련 조립원,중년
여성,1943,무응답,없음,941.0,20.0,서울,57,청소원 및 환경 미화원,중년
여성,1957,무응답,있음,864.0,120.0,서울,43,전기 전자 부품 및 제품 조립원,중년
남성,1986,무응답,있음,312.0,320.0,서울,14,경영관련 사무원,청년
남성,1942,결혼,있음,120.0,150.0,서울,58,행정 및 경영지원 관리자,중년
남성,1963,결혼,있음,311.0,450.0,서울,37,행정 사무원,중년
여성,1964,결혼,있음,422.0,85.5,서울,36,이 미용 및 관련 서비스 종사자,중년
남성,1935,무응답,있음,941.0,6.0,서울,65,청소원 및 환경 미화원,노년
남성,1951,결혼,있음,921.0,252.0,부산/경남/울산,49,하역 및 적재 단순 종사원,중년
남성,1970,이혼,있음,761.0,206.0,부산/경남/울산,30,전기 및 전자기기 설치 및 수리원,중년
남성,1955,결혼,있음,521.0,241.61901596892534,부산/경남/울산,45,매장 판매 종사자,중년
여성,1960,결혼,있음,521.0,241.61901596892534,부산/경남/울산,40,매장 판매 종사자,중년
여성,1955,결혼,있음,521.0,241.61901596892534,부산/경남/울산,45,매장 판매 종사자,중년
남성,1977,결혼,없음,241.0,1666.7,부산/경남/울산,23,의료진료 전문가,청년
남성,1971,결혼,있음,152.0,241.61901596892534,부산/경남/울산,29,고객서비스 관리자,청년
여성,1972,결혼,있음,313.0,241.61901596892534,부산/경남/울산,28,회계 및 경리 사무원,청년
여성,1953,결혼,있음,441.0,241.61901596892534,부산/경남/울산,47,주방장 및 조리사,중년
남성,1963,결혼,없음,773.0,241.61901596892534,부산/경남/울산,37,건축마감관련 기능 종사자,중년
여성,1945,결혼,있음,521.0,241.61901596892534,부산/경남/울산,55,매장 판매 종사자,중년
남성,1959,결혼,없음,441.0,241.61901596892534,부산/경남/울산,41,주방장 및 조리사,중년
여성,1963,결혼,없음,442.0,241.61901596892534,부산/경남/울산,37,음식서비스 종사자,중년
여성,1968,무응답,있음,999.0,82.5,부산/경남/울산,32,기타 서비스관련 단순 종사원,중년
남성,1990,무응답,있음,922.0,103.0,부산/경남/울산,10,배달원,청년
남성,1974,결혼,없음,311.0,349.2,부산/경남/울산,26,행정 사무원,청년
여성,1977,결혼,없음,252.0,361.7,부산/경남/울산,23,학교 교사,청년
여성,1938,결혼,있음,951.0,241.61901596892534,부산/경남/울산,62,가사 및 육아 도우미,노년
여성,1950,이혼,있음,941.0,92.0,부산/경남/울산,50,청소원 및 환경 미화원,중년
남성,1962,결혼,없음,442.0,241.61901596892534,부산/경남/울산,38,음식서비스 종사자,중년
여성,1959,결혼,없음,441.0,241.61901596892534,부산/경남/울산,41,주방장 및 조리사,중년
남성,1981,결혼,없음,312.0,342.1,부산/경남/울산,19,경영관련 사무원,청년
여성,1974,무응답,있음,521.0,100.0,부산/경남/울산,26,매장 판매 종사자,청년
남성,1960,결혼,있음,312.0,368.0,부산/경남/울산,40,경영관련 사무원,중년
여성,1970,결혼,있음,992.0,188.0,부산/경남/울산,30,계기검침 수금 및 주차 관련 종사원,중년
여성,1936,무응답,없음,422.0,241.61901596892534,부산/경남/울산,64,이 미용 및 관련 서비스 종사자,노년
여성,1965,이혼,없음,941.0,105.0,부산/경남/울산,35,청소원 및 환경 미화원,중년
남성,1988,무응답,없음,922.0,193.0,부산/경남/울산,12,배달원,청년
남성,1991,무응답,없음,922.0,164.2,부산/경남/울산,9,배달원,청년
여성,1975,이혼,있음,442.0,241.61901596892534,부산/경남/울산,25,음식서비스 종사자,청년
남성,1940,결혼,있음,530.0,241.61901596892534,부산/경남/울산,60,방문 노점 및 통신 판매 관련 종사자,노년
여성,1944,결혼,있음,530.0,241.61901596892534,부산/경남/울산,56,방문 노점 및 통신 판매 관련 종사자,중년
남성,1967,무응답,있음,312.0,260.0,부산/경남/울산,33,경영관련 사무원,중년
남성,1941,결혼,없음,921.0,241.61901596892534,부산/경남/울산,59,하역 및 적재 단순 종사원,중년
남성,1952,결혼,없음,942.0,120.0,부산/경남/울산,48,경비원 및 검표원,중년
여성,1954,결혼,없음,421.0,57.2,부산/경남/울산,46,의료 복지 관련 서비스 종사자,중년
여성,1992,무응답,없음,442.0,30.0,부산/경남/울산,8,음식서비스 종사자,청년
남성,1948,결혼,있음,942.0,130.0,부산/경남/울산,52,경비원 및 검표원,중년
여성,1950,결혼,있음,941.0,30.0,부산/경남/울산,50,청소원 및 환경 미화원,중년
남성,1979,무응답,있음,999.0,241.61901596892534,부산/경남/울산,21,기타 서비스관련 단순 종사원,청년
남성,1974,무응답,있음,922.0,187.5,부산/경남/울산,26,배달원,청년
남성,1971,무응답,없음,873.0,241.61901596892534,부산/경남/울산,29,자동차 운전원,청년
여성,1971,무응답,없음,259.0,130.0,부산/경남/울산,29,기타 교육 전문가,청년
남성,1962,결혼,없음,891.0,252.5,부산/경남/울산,38,목재 및 종이 관련 기계조작원,중년
남성,1922,무응답,없음,149.0,241.61901596892534,부산/경남/울산,78,기타 건설 전기 및 생산 관련 관리자,노년
남성,1966,무응답,있음,891.0,172.5,부산/경남/울산,34,목재 및 종이 관련 기계조작원,중년
남성,1969,무응답,없음,743.0,247.0,부산/경남/울산,31,용접원,중년
남성,1951,이혼,없음,873.0,92.0,부산/경남/울산,49,자동차 운전원,중년
여성,1964,결혼,있음,930.0,174.0,부산/경남/울산,36,제조관련 단순 종사원,중년
여성,1991,무응답,있음,246.0,143.3,부산/경남/울산,9,보건의료관련 종사자,청년
여성,1994,무응답,있음,952.0,241.61901596892534,부산/경남/울산,6,음식관련 단순 종사원,청년
남성,1955,결혼,없음,942.0,140.8,부산/경남/울산,45,경비원 및 검표원,중년
여성,1958,무응답,있음,442.0,241.61901596892534,부산/경남/울산,42,음식서비스 종사자,중년
여성,1957,무응답,있음,442.0,241.61901596892534,부산/경남/울산,43,음식서비스 종사자,중년
남성,1979,무응답,있음,922.0,107.0,부산/경남/울산,21,배달원,청년
여성,1949,무응답,있음,442.0,241.61901596892534,부산/경남/울산,51,음식서비스 종사자,중년
남성,1939,결혼,없음,942.0,83.0,부산/경남/울산,61,경비원 및 검표원,노년
여성,1947,무응답,있음,951.0,75.0,부산/경남/울산,53,가사 및 육아 도우미,중년
남성,1984,결혼,있음,922.0,160.0,부산/경남/울산,16,배달원,청년
남성,1953,결혼,없음,611.0,241.61901596892534,강원도/충북,47,작물재배 종사자,중년
여성,1953,결혼,있음,941.0,80.0,강원도/충북,47,청소원 및 환경 미화원,중년
남성,1977,무응답,없음,910.0,134.4,부산/경남/울산,23,건설 및 광업 단순 종사원,청년
여성,1967,무응답,있음,952.0,127.7,부산/경남/울산,33,음식관련 단순 종사원,중년
여성,1944,무응답,있음,941.0,20.0,부산/경남/울산,56,청소원 및 환경 미화원,중년
남성,1969,결혼,없음,873.0,480.0,부산/경남/울산,31,자동차 운전원,중년
여성,1975,결혼,없음,313.0,148.6,부산/경남/울산,25,회계 및 경리 사무원,청년
남성,1961,결혼,없음,851.0,241.61901596892534,부산/경남/울산,39,금속공작기계 조작원,중년
여성,1962,결혼,없음,930.0,107.0,부산/경남/울산,38,제조관련 단순 종사원,중년
남성,1945,결혼,있음,399.0,241.61901596892534,부산/경남/울산,55,고객 상담 및 기타 사무원,중년
남성,1946,결혼,있음,822.0,241.61901596892534,부산/경남/울산,54,직물 및 신발 관련 기계조작원 및 조립원,중년
남성,1979,결혼,없음,235.0,423.6,부산/경남/울산,21,전기 전자 및 기계 공학 기술자 및 시험원,청년
남성,1966,결혼,없음,311.0,427.5,부산/경남/울산,34,행정 사무원,중년
여성,1967,결혼,없음,259.0,241.61901596892534,부산/경남/울산,33,기타 교육 전문가,중년
남성,1952,결혼,있음,863.0,128.0,부산/경남/울산,48,전기 전자 부품 및 제품 제조장치 조작원,중년
남성,1975,결혼,없음,753.0,441.7,부산/경남/울산,25,기계장비 설치 및 정비원,청년
남성,1981,결혼,없음,312.0,375.0,부산/경남/울산,19,경영관련 사무원,청년
남성,1972,결혼,있음,823.0,241.61901596892534,부산/경남/울산,28,세탁관련 기계조작원,청년
여성,1979,결혼,있음,823.0,241.61901596892534,부산/경남/울산,21,세탁관련 기계조작원,청년
남성,1965,결혼,없음,149.0,241.61901596892534,부산/경남/울산,35,기타 건설 전기 및 생산 관련 관리자,중년
남성,1955,결혼,있음,942.0,147.0,부산/경남/울산,45,경비원 및 검표원,중년
남성,1972,결혼,없음,411.0,447.0,부산/경남/울산,28,경찰 소방 및 교도 관련 종사자,청년
남성,1959,결혼,없음,761.0,250.0,부산/경남/울산,41,전기 및 전자기기 설치 및 수리원,중년
여성,1963,결혼,없음,521.0,103.0,부산/경남/울산,37,매장 판매 종사자,중년
남성,1987,무응답,없음,314.0,130.0,부산/경남/울산,13,비서 및 사무 보조원,청년
남성,1963,이혼,없음,772.0,241.61901596892534,부산/경남/울산,37,건설관련 기능 종사자,중년
여성,1967,이혼,없음,521.0,150.0,부산/경남/울산,33,매장 판매 종사자,중년
남성,1996,무응답,없음,930.0,241.61901596892534,부산/경남/울산,4,제조관련 단순 종사원,청년
여성,1940,무응답,있음,951.0,20.0,부산/경남/울산,60,가사 및 육아 도우미,노년
남성,1952,결혼,있음,753.0,200.0,부산/경남/울산,48,기계장비 설치 및 정비원,중년
여성,1953,결혼,있음,510.0,141.7,부산/경남/울산,47,영업 종사자,중년
여성,1983,무응답,있음,311.0,266.7,서울,17,행정 사무원,청년
남성,1968,무응답,없음,741.0,192.5,부산/경남/울산,32,금형 주조 및 단조원,중년
남성,1968,이혼,없음,751.0,241.61901596892534,부산/경남/울산,32,자동차 정비원,중년
여성,1954,이혼,있음,442.0,241.61901596892534,부산/경남/울산,46,음식서비스 종사자,중년
여성,1988,무응답,있음,243.0,218.3,부산/경남/울산,12,간호사,청년
남성,1955,결혼,없음,510.0,241.61901596892534,부산/경남/울산,45,영업 종사자,중년
남성,1982,결혼,없음,831.0,586.0,광주/전남/전북/제주도,18,석유 및 화학물 가공장치 조작원,청년
남성,1967,결혼,있음,312.0,713.0,부산/경남/울산,33,경영관련 사무원,중년
여성,1968,결혼,없음,259.0,250.0,부산/경남/울산,32,기타 교육 전문가,중년
남성,1942,무응답,있음,422.0,241.61901596892534,부산/경남/울산,58,이 미용 및 관련 서비스 종사자,중년
남성,1940,결혼,있음,611.0,241.61901596892534,부산/경남/울산,60,작물재배 종사자,노년
여성,1949,결혼,있음,611.0,241.61901596892534,부산/경남/울산,51,작물재배 종사자,중년
여성,1966,무응답,없음,441.0,241.61901596892534,부산/경남/울산,34,주방장 및 조리사,중년
남성,1990,무응답,없음,930.0,143.0,부산/경남/울산,10,제조관련 단순 종사원,청년
남성,1990,무응답,없음,999.0,123.0,부산/경남/울산,10,기타 서비스관련 단순 종사원,청년
남성,1974,결혼,있음,120.0,416.6,부산/경남/울산,26,행정 및 경영지원 관리자,청년
여성,1977,결혼,있음,510.0,208.3,부산/경남/울산,23,영업 종사자,청년
여성,1964,이혼,없음,442.0,108.0,부산/경남/울산,36,음식서비스 종사자,중년
여성,1989,무응답,없음,399.0,216.9,부산/경남/울산,11,고객 상담 및 기타 사무원,청년
남성,1972,무응답,없음,921.0,165.0,부산/경남/울산,28,하역 및 적재 단순 종사원,청년
여성,1974,이혼,있음,952.0,241.61901596892534,부산/경남/울산,26,음식관련 단순 종사원,청년
여성,1959,무응답,있음,941.0,60.0,부산/경남/울산,41,청소원 및 환경 미화원,중년
남성,1988,무응답,없음,399.0,150.0,부산/경남/울산,12,고객 상담 및 기타 사무원,청년
여성,1985,이혼,없음,521.0,130.0,부산/경남/울산,15,매장 판매 종사자,청년
여성,1940,결혼,있음,521.0,110.0,부산/경남/울산,60,매장 판매 종사자,노년
남성,1963,결혼,있음,412.0,230.0,부산/경남/울산,37,경호 및 보안 관련 종사자,중년
여성,1968,결혼,있음,246.0,150.0,부산/경남/울산,32,보건의료관련 종사자,중년
여성,1992,무응답,있음,521.0,105.0,부산/경남/울산,8,매장 판매 종사자,청년
남성,1947,결혼,없음,942.0,130.0,부산/경남/울산,53,경비원 및 검표원,중년
여성,1975,무응답,없음,392.0,190.0,부산/경남/울산,25,여행 안내 및 접수 사무원,청년
여성,1979,무응답,있음,247.0,130.0,부산/경남/울산,21,사회복지관련 종사자,청년
남성,1972,이혼,있음,314.0,215.0,부산/경남/울산,28,비서 및 사무 보조원,청년
남성,1982,무응답,없음,762.0,416.7,부산/경남/울산,18,전기공,청년
남성,1971,결혼,있음,411.0,510.8,부산/경남/울산,29,경찰 소방 및 교도 관련 종사자,청년
여성,1976,결혼,있음,259.0,210.0,부산/경남/울산,24,기타 교육 전문가,청년
여성,1977,결혼,없음,721.0,241.61901596892534,부산/경남/울산,23,섬유 및 가죽 관련 기능 종사자,청년
남성,1973,결혼,없음,899.0,334.6,부산/경남/울산,27,기타 제조관련 기계조작원,청년
남성,1978,결혼,없음,222.0,335.0,부산/경남/울산,22,정보시스템 개발 전문가,청년
남성,1979,무응답,없음,761.0,200.0,부산/경남/울산,21,전기 및 전자기기 설치 및 수리원,청년
여성,1962,결혼,없음,421.0,56.0,부산/경남/울산,38,의료 복지 관련 서비스 종사자,중년
여성,1985,결혼,없음,314.0,159.0,부산/경남/울산,15,비서 및 사무 보조원,청년
남성,1985,결혼,없음,853.0,261.4,부산/경남/울산,15,자동조립라인 및 산업용 로봇 조작원,청년
남성,1965,결혼,없음,313.0,241.61901596892534,부산/경남/울산,35,회계 및 경리 사무원,중년
남성,1975,결혼,없음,862.0,213.0,부산/경남/울산,25,전기 및 전자 설비 조작원,청년
여성,1974,결혼,없음,314.0,132.0,부산/경남/울산,26,비서 및 사무 보조원,청년
남성,1966,결혼,있음,772.0,250.0,부산/경남/울산,34,건설관련 기능 종사자,중년
남성,1938,결혼,있음,823.0,241.61901596892534,부산/경남/울산,62,세탁관련 기계조작원,노년
여성,1944,결혼,있음,999.0,241.61901596892534,부산/경남/울산,56,기타 서비스관련 단순 종사원,중년
남성,1971,결혼,없음,772.0,270.0,부산/경남/울산,29,건설관련 기능 종사자,청년
여성,1974,결혼,없음,246.0,155.0,부산/경남/울산,26,보건의료관련 종사자,청년
남성,1945,무응답,있음,942.0,86.0,부산/경남/울산,55,경비원 및 검표원,중년
남성,1950,결혼,있음,941.0,103.0,부산/경남/울산,50,청소원 및 환경 미화원,중년
여성,1961,결혼,있음,314.0,27.3,부산/경남/울산,39,비서 및 사무 보조원,중년
여성,1980,결혼,없음,930.0,241.61901596892534,부산/경남/울산,20,제조관련 단순 종사원,청년
여성,1983,무응답,있음,313.0,138.0,부산/경남/울산,17,회계 및 경리 사무원,청년
남성,1979,결혼,없음,231.0,316.6,부산/경남/울산,21,건축 및 토목 공학 기술자 및 시험원,청년
남성,1954,결혼,있음,431.0,200.0,부산/경남/울산,46,운송 서비스 종사자,중년
여성,1981,무응답,있음,722.0,146.8,부산/경남/울산,19,의복 제조관련 기능 종사자,청년
남성,1973,결혼,없음,254.0,241.61901596892534,부산/경남/울산,27,문리 기술 및 예능 강사,청년
여성,1978,결혼,없음,313.0,363.3,부산/경남/울산,22,회계 및 경리 사무원,청년
여성,1972,이혼,없음,313.0,72.0,부산/경남/울산,28,회계 및 경리 사무원,청년
여성,1953,무응답,있음,521.0,48.0,부산/경남/울산,47,매장 판매 종사자,중년
남성,1990,무응답,있음,243.0,203.0,부산/경남/울산,10,간호사,청년
남성,1948,이혼,없음,159.0,158.0,부산/경남/울산,52,기타 판매 및 고객서비스 관리자,중년
여성,1967,무응답,없음,521.0,241.61901596892534,부산/경남/울산,33,매장 판매 종사자,중년
남성,1992,무응답,없음,999.0,94.0,부산/경남/울산,8,기타 서비스관련 단순 종사원,청년
남성,1978,결혼,있음,312.0,532.0,부산/경남/울산,22,경영관련 사무원,청년
여성,1979,결혼,있음,313.0,382.0,부산/경남/울산,21,회계 및 경리 사무원,청년
남성,1952,결혼,없음,873.0,241.61901596892534,부산/경남/울산,48,자동차 운전원,중년
여성,1957,결혼,있음,442.0,147.7,부산/경남/울산,43,음식서비스 종사자,중년
남성,1983,무응답,없음,761.0,241.61901596892534,부산/경남/울산,17,전기 및 전자기기 설치 및 수리원,청년
여성,1972,무응답,없음,930.0,108.0,대구/경북,28,제조관련 단순 종사원,청년
여성,1975,결혼,있음,289.0,50.0,부산/경남/울산,25,매니저 및 기타 문화 예술 관련 종사자,청년
남성,1965,결혼,있음,442.0,241.61901596892534,부산/경남/울산,35,음식서비스 종사자,중년
남성,1962,결혼,있음,411.0,422.5,부산/경남/울산,38,경찰 소방 및 교도 관련 종사자,중년
남성,1961,결혼,없음,251.0,679.2,부산/경남/울산,39,대학 교수 및 강사,중년
여성,1965,결혼,있음,252.0,598.2,부산/경남/울산,35,학교 교사,중년
여성,1953,결혼,없음,721.0,241.61901596892534,부산/경남/울산,47,섬유 및 가죽 관련 기능 종사자,중년
남성,1972,결혼,없음,442.0,241.61901596892534,부산/경남/울산,28,음식서비스 종사자,청년
남성,1973,이혼,있음,851.0,211.5,부산/경남/울산,27,금속공작기계 조작원,청년
남성,1952,결혼,있음,873.0,211.0,부산/경남/울산,48,자동차 운전원,중년
남성,1978,결혼,없음,312.0,453.6,부산/경남/울산,22,경영관련 사무원,청년
남성,1964,결혼,없음,753.0,229.5,부산/경남/울산,36,기계장비 설치 및 정비원,중년
여성,1967,결혼,있음,721.0,140.0,부산/경남/울산,33,섬유 및 가죽 관련 기능 종사자,중년
남성,1966,결혼,없음,792.0,247.0,부산/경남/울산,34,배관공,중년
남성,1978,결혼,있음,510.0,583.3,부산/경남/울산,22,영업 종사자,청년
여성,1978,결혼,있음,521.0,67.0,부산/경남/울산,22,매장 판매 종사자,청년
남성,1978,결혼,있음,312.0,391.6,부산/경남/울산,22,경영관련 사무원,청년
남성,1961,결혼,없음,873.0,411.6,부산/경남/울산,39,자동차 운전원,중년
남성,1973,무응답,없음,312.0,350.7,부산/경남/울산,27,경영관련 사무원,청년
남성,1952,결혼,없음,851.0,265.8,부산/경남/울산,48,금속공작기계 조작원,중년
남성,1951,결혼,없음,510.0,241.61901596892534,부산/경남/울산,49,영업 종사자,중년
여성,1952,결혼,없음,951.0,150.0,부산/경남/울산,48,가사 및 육아 도우미,중년
남성,1938,결혼,있음,873.0,241.61901596892534,부산/경남/울산,62,자동차 운전원,노년
여성,1950,결혼,있음,951.0,56.0,부산/경남/울산,50,가사 및 육아 도우미,중년
남성,1981,결혼,있음,239.0,424.0,부산/경남/울산,19,기타 공학 전문가 및 관련 종사자,청년
남성,1959,결혼,있음,772.0,412.0,부산/경남/울산,41,건설관련 기능 종사자,중년
여성,1959,결혼,있음,722.0,241.61901596892534,부산/경남/울산,41,의복 제조관련 기능 종사자,중년
여성,1971,무응답,없음,281.0,782.0,서울,29,작가 기자 및 출판 전문가,청년
남성,1952,결혼,있음,799.0,204.0,부산/경남/울산,48,기타 기능관련 종사자,중년
여성,1981,결혼,없음,243.0,268.2,부산/경남/울산,19,간호사,청년
여성,1983,결혼,없음,530.0,241.61901596892534,부산/경남/울산,17,방문 노점 및 통신 판매 관련 종사자,청년
남성,1976,결혼,없음,510.0,358.3,부산/경남/울산,24,영업 종사자,청년
남성,1983,결혼,없음,530.0,241.61901596892534,부산/경남/울산,17,방문 노점 및 통신 판매 관련 종사자,청년
남성,1944,결혼,있음,942.0,90.0,부산/경남/울산,56,경비원 및 검표원,중년
남성,1947,결혼,있음,151.0,162.0,부산/경남/울산,53,판매 및 운송 관리자,중년
남성,1979,결혼,없음,874.0,224.5,부산/경남/울산,21,물품이동 장비 조작원,청년
남성,1981,결혼,없음,873.0,258.3,부산/경남/울산,19,자동차 운전원,청년
남성,1975,결혼,없음,411.0,325.0,부산/경남/울산,25,경찰 소방 및 교도 관련 종사자,청년
여성,1983,결혼,없음,521.0,241.61901596892534,부산/경남/울산,17,매장 판매 종사자,청년
여성,1987,결혼,없음,313.0,157.0,부산/경남/울산,13,회계 및 경리 사무원,청년
여성,1941,무응답,있음,521.0,241.61901596892534,부산/경남/울산,59,매장 판매 종사자,중년
남성,1972,무응답,있음,762.0,233.1,부산/경남/울산,28,전기공,청년
남성,1973,결혼,없음,429.0,241.61901596892534,부산/경남/울산,27,기타 이미용 예식 및 의료보조 서비스 종사자,청년
여성,1973,결혼,없음,999.0,241.61901596892534,부산/경남/울산,27,기타 서비스관련 단순 종사원,청년
남성,1975,결혼,있음,441.0,241.61901596892534,부산/경남/울산,25,주방장 및 조리사,청년
남성,1951,결혼,있음,953.0,241.61901596892534,부산/경남/울산,49,판매관련 단순 종사원,중년
여성,1955,결혼,있음,951.0,110.0,부산/경남/울산,45,가사 및 육아 도우미,중년
여성,1983,결혼,있음,422.0,241.61901596892534,부산/경남/울산,17,이 미용 및 관련 서비스 종사자,청년
남성,1981,결혼,없음,239.0,296.5,부산/경남/울산,19,기타 공학 전문가 및 관련 종사자,청년
여성,1972,이혼,없음,441.0,241.61901596892534,부산/경남/울산,28,주방장 및 조리사,청년
여성,1963,결혼,있음,421.0,158.0,부산/경남/울산,37,의료 복지 관련 서비스 종사자,중년
남성,1986,결혼,있음,411.0,360.0,서울,14,경찰 소방 및 교도 관련 종사자,청년
남성,1989,무응답,없음,411.0,113.0,부산/경남/울산,11,경찰 소방 및 교도 관련 종사자,청년
남성,1957,결혼,있음,873.0,241.61901596892534,부산/경남/울산,43,자동차 운전원,중년
여성,1960,결혼,있음,530.0,180.0,부산/경남/울산,40,방문 노점 및 통신 판매 관련 종사자,중년
남성,1941,결혼,없음,611.0,241.61901596892534,부산/경남/울산,59,작물재배 종사자,중년
남성,1975,무응답,없음,611.0,241.61901596892534,부산/경남/울산,25,작물재배 종사자,청년
남성,1975,결혼,있음,274.0,241.61901596892534,부산/경남/울산,25,기술영업 및 중개 관련 종사자,청년
여성,1982,결혼,있음,313.0,287.0,부산/경남/울산,18,회계 및 경리 사무원,청년
남성,1973,결혼,없음,151.0,573.3,부산/경남/울산,27,판매 및 운송 관리자,청년
남성,1955,결혼,없음,530.0,241.61901596892534,부산/경남/울산,45,방문 노점 및 통신 판매 관련 종사자,중년
여성,1955,결혼,있음,530.0,241.61901596892534,부산/경남/울산,45,방문 노점 및 통신 판매 관련 종사자,중년
여성,1977,무응답,없음,243.0,158.0,부산/경남/울산,23,간호사,청년
남성,1964,결혼,있음,422.0,241.61901596892534,부산/경남/울산,36,이 미용 및 관련 서비스 종사자,중년
여성,1963,결혼,있음,930.0,138.0,부산/경남/울산,37,제조관련 단순 종사원,중년
남성,1991,무응답,없음,930.0,188.0,부산/경남/울산,9,제조관련 단순 종사원,청년
여성,1941,무응답,있음,991.0,241.61901596892534,부산/경남/울산,59,농립어업관련 단순 종사원,중년
남성,1955,결혼,있음,930.0,269.0,부산/경남/울산,45,제조관련 단순 종사원,중년
여성,1990,무응답,없음,312.0,203.0,부산/경남/울산,10,경영관련 사무원,청년
여성,1961,결혼,있음,510.0,686.4,부산/경남/울산,39,영업 종사자,중년
남성,1971,결혼,있음,822.0,148.3,부산/경남/울산,29,직물 및 신발 관련 기계조작원 및 조립원,청년
남성,1971,결혼,없음,862.0,260.0,광주/전남/전북/제주도,29,전기 및 전자 설비 조작원,청년
여성,1972,결혼,없음,246.0,191.0,광주/전남/전북/제주도,28,보건의료관련 종사자,청년
남성,1971,결혼,있음,431.0,230.0,부산/경남/울산,29,운송 서비스 종사자,청년
여성,1970,결혼,있음,930.0,149.5,부산/경남/울산,30,제조관련 단순 종사원,중년
남성,1971,결혼,있음,873.0,241.61901596892534,부산/경남/울산,29,자동차 운전원,청년
여성,1974,결혼,있음,510.0,100.0,부산/경남/울산,26,영업 종사자,청년
남성,1976,결혼,없음,313.0,358.3,부산/경남/울산,24,회계 및 경리 사무원,청년
여성,1978,결혼,없음,432.0,241.61901596892534,부산/경남/울산,22,여가 및 스포츠 관련 종사자,청년
남성,1973,결혼,없음,855.0,596.5,부산/경남/울산,27,금속기계부품 조립원,청년
여성,1973,결혼,없음,246.0,176.5,부산/경남/울산,27,보건의료관련 종사자,청년
남성,1970,결혼,있음,761.0,241.61901596892534,부산/경남/울산,30,전기 및 전자기기 설치 및 수리원,중년
여성,1973,결혼,있음,320.0,158.0,부산/경남/울산,27,금융 및 보험관련 사무 종사자,청년
남성,1970,결혼,있음,411.0,417.0,부산/경남/울산,30,경찰 소방 및 교도 관련 종사자,중년
여성,1978,결혼,있음,259.0,100.0,부산/경남/울산,22,기타 교육 전문가,청년
남성,1970,결혼,있음,311.0,529.1,부산/경남/울산,30,행정 사무원,중년
남성,1969,결혼,없음,753.0,398.6,부산/경남/울산,31,기계장비 설치 및 정비원,중년
여성,1978,결혼,없음,243.0,250.0,부산/경남/울산,22,간호사,청년
남성,1969,결혼,없음,772.0,241.61901596892534,부산/경남/울산,31,건설관련 기능 종사자,중년
여성,1974,결혼,없음,521.0,120.0,부산/경남/울산,26,매장 판매 종사자,청년
남성,1972,무응답,없음,510.0,396.7,부산/경남/울산,28,영업 종사자,청년
남성,1954,결혼,없음,873.0,269.6,부산/경남/울산,46,자동차 운전원,중년
여성,1967,결혼,있음,441.0,133.3,부산/경남/울산,33,주방장 및 조리사,중년
여성,1990,무응답,없음,285.0,163.0,부산/경남/울산,10,디자이너,청년
남성,1984,결혼,있음,863.0,421.5,부산/경남/울산,16,전기 전자 부품 및 제품 제조장치 조작원,청년
남성,1971,결혼,있음,873.0,241.61901596892534,강원도/충북,29,자동차 운전원,청년
여성,1971,결혼,있음,864.0,128.2,강원도/충북,29,전기 전자 부품 및 제품 조립원,청년
남성,1974,결혼,없음,921.0,255.0,부산/경남/울산,26,하역 및 적재 단순 종사원,청년
여성,1974,결혼,없음,314.0,70.0,부산/경남/울산,26,비서 및 사무 보조원,청년
남성,1966,결혼,있음,399.0,416.7,부산/경남/울산,34,고객 상담 및 기타 사무원,중년
여성,1971,결혼,있음,429.0,241.61901596892534,부산/경남/울산,29,기타 이미용 예식 및 의료보조 서비스 종사자,청년
남성,1969,결혼,없음,245.0,270.8,부산/경남/울산,31,치료사 및 의료기사,중년
여성,1974,결혼,없음,254.0,100.0,부산/경남/울산,26,문리 기술 및 예능 강사,청년
남성,1968,결혼,없음,899.0,159.1,부산/경남/울산,32,기타 제조관련 기계조작원,중년
여성,1976,결혼,없음,930.0,110.0,부산/경남/울산,24,제조관련 단순 종사원,청년
남성,1957,결혼,없음,863.0,284.0,부산/경남/울산,43,전기 전자 부품 및 제품 제조장치 조작원,중년
